yyyy-mm-dd hh:mm:ss,DELTA_ENERGY,GRID_ENERGY,CHARGE_LEVEL
2020-06-01 22:45:00,-77.7,0.0,14046.659999999998
2020-06-01 23:00:00,-94.5,0.0,13952.159999999998
2020-06-01 23:15:00,-76.65,0.0,13875.509999999998
2020-06-01 23:30:00,-65.10000000000001,0.0,13810.409999999998
2020-06-01 23:45:00,-63.0,0.0,13747.409999999998
2020-06-02 00:00:00,-70.35000000000001,0.0,13677.059999999998
2020-06-02 00:15:00,-51.45,0.0,13625.609999999997
2020-06-02 00:30:00,-32.550000000000004,0.0,13593.059999999998
2020-06-02 00:45:00,-29.400000000000002,0.0,13563.659999999998
2020-06-02 01:00:00,-45.15,0.0,13518.509999999998
2020-06-02 01:15:00,-31.5,0.0,13487.009999999998
2020-06-02 01:30:00,-33.6,0.0,13453.409999999998
2020-06-02 01:45:00,-22.05,0.0,13431.359999999999
2020-06-02 02:00:00,-29.400000000000002,0.0,13401.96
2020-06-02 02:15:00,-21.0,0.0,13380.96
2020-06-02 02:30:00,-33.6,0.0,13347.359999999999
2020-06-02 02:45:00,-30.450000000000003,0.0,13316.909999999998
2020-06-02 03:00:00,-32.550000000000004,0.0,13284.359999999999
2020-06-02 03:15:00,-34.65,0.0,13249.71
2020-06-02 03:30:00,-36.75,0.0,13212.96
2020-06-02 03:45:00,-39.9,0.0,13173.06
2020-06-02 04:00:00,-54.6,0.0,13118.46
2020-06-02 04:15:00,-49.35,0.0,13069.109999999999
2020-06-02 04:30:00,-65.10000000000001,0.0,13004.009999999998
2020-06-02 04:45:00,-56.400000000000006,0.0,12947.609999999999
2020-06-02 05:00:00,-46.11,0.0,12901.499999999998
2020-06-02 05:15:00,-26.520000000000003,0.0,12874.979999999998
2020-06-02 05:30:00,-8.79,0.0,12866.189999999997
2020-06-02 05:45:00,-36.09,0.0,12830.099999999997
2020-06-02 06:00:00,2.039999999999992,0.0,12832.139999999998
2020-06-02 06:15:00,12.719999999999999,0.0,12844.859999999997
2020-06-02 06:30:00,0.8400000000000034,0.0,12845.699999999997
2020-06-02 06:45:00,53.75999999999999,0.0,12899.459999999997
2020-06-02 07:00:00,72.38999999999999,0.0,12971.849999999997
2020-06-02 07:15:00,103.23000000000002,0.0,13075.079999999996
2020-06-02 07:30:00,122.93999999999997,0.0,13198.019999999997
2020-06-02 07:45:00,138.80999999999997,0.0,13336.829999999996
2020-06-02 08:00:00,191.88000000000002,0.0,13528.709999999995
2020-06-02 08:15:00,211.86,0.0,13740.569999999996
2020-06-02 08:30:00,236.72999999999996,0.0,13977.299999999996
2020-06-02 08:45:00,266.61,0.0,14243.909999999996
2020-06-02 09:00:00,304.10999999999996,0.0,14548.019999999997
2020-06-02 09:15:00,345.1500000000001,0.0,14893.169999999996
2020-06-02 09:30:00,347.36999999999995,-106.83000000000357,15000.0
2020-06-02 09:45:00,336.92999999999995,0.0,15000.0
2020-06-02 10:00:00,399.53999999999985,0.0,15000.0
2020-06-02 10:15:00,442.7399999999999,0.0,15000.0
2020-06-02 10:30:00,439.4699999999999,0.0,15000.0
2020-06-02 10:45:00,411.27,0.0,15000.0
2020-06-02 11:00:00,461.88,0.0,15000.0
2020-06-02 11:15:00,487.82999999999987,0.0,15000.0
2020-06-02 11:30:00,509.97,0.0,15000.0
2020-06-02 11:45:00,492.8100000000001,0.0,15000.0
